Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
ESSE01 	ESSR15 	HS	-45.87		0.97	-	0.80	9999
ESSE01 	ESSR16 	U	-55.29		-	1.65	6.01	9999
ESSE01 	ESSR17 	U	-58.93		-	2.96	7.26	9999
ESSE01 	ESSR21 	U	-51.50		-	2.69	6.91	9999
ESSE01 	ESSR22 	U	-52.92		-	1.85	5.07	9999
ESSE01 	ESSR23 	U	-57.85		-	3.12	6.93	9999
ESSE01 	ESSR24 	U	-50.05		-	0.14	3.14	9999
ESSE01 	ESSR25 	U	-56.17		-	1.85	4.54	9999
ESSE01 	ESSR26 	U	-57.21		-	3.37	7.98	9999
ESSE01 	ESSR27 	HS	-53.16		0.02	-	2.51	9999
ESSE01 	ESSR28 	HS	-44.87		0.13	-	1.18	9999
ESSE02 	ESSR18 	U	-68.09		-	4.59	10.22	9999
ESSE02 	ESSR19 	U	-73.50		-	3.82	8.67	9999
ESSE02 	ESSR20 	U	-71.67		-	4.79	10.79	9999
ESSE02 	ESSR01 	U	-70.39		-	2.02	5.87	9999
ESSE02 	ESSR02 	U	-68.46		-	4.14	9.03	9999
ESSE02 	ESSR03 	U	-71.78		-	2.48	6.47	9999
ESSE02 	ESSR04 	U	-71.91		-	2.58	6.58	9999
ESSE02 	ESSR05 	U	-64.74		-	4.48	9.98	9999
ESSE02 	ESSR06 	U	-76.63		-	2.09	6.19	9999
ESSE02 	ESSR07 	U	-66.74		-	4.51	10.12	9999
ESSE02 	ESSR08 	U	-73.33		-	2.01	5.32	9999
ESSE02 	ESSR09 	U	-72.41		-	4.58	9.63	9999
ESSE02 	ESSR10 	U	-60.47		-	0.29	3.88	9999
ESSE02 	ESSR11 	U	-67.87		-	0.51	3.15	9999
ESSE02 	ESSR12 	U	-67.09		-	0.61	3.74	9999
ESSE02 	ESSR13 	U	-55.43		-	0.56	3.36	9999
ESSE02 	ESSR14 	U	-79.17		-	0.51	4.59	9999
ESSE02 	ESSR15 	U	-56.83		-	1.69	5.06	9999
ESSE02 	ESSR16 	U	-70.09		-	3.28	6.85	9999
ESSE02 	ESSR17 	U	-73.73		-	1.08	5.25	9999
ESSE02 	ESSR21 	U	-63.90		-	5.93	11.93	9999
ESSE02 	ESSR22 	U	-68.33		-	1.44	5.38	9999
ESSE02 	ESSR23 	U	-73.26		-	4.81	10.53	9999
ESSE02 	ESSR24 	U	-65.46		-	3.51	8.67	9999
ESSE02 	ESSR25 	U	-71.58		-	1.83	6.14	9999
ESSE02 	ESSR26 	U	-71.71		-	5.83	11.78	9999
ESSE02 	ESSR27 	U	-68.58		-	3.86	8.62	9999
ESSE02 	ESSR28 	U	-60.41		-	4.62	10.11	9999
ESSE02 	ESSE01 	U	-67.13		-	2.85	7.09	9999
ESSE03 	ESSR18 	U	-60.38		-	2.79	7.04	9999
ESSE03 	ESSR19 	U	-65.79		-	4.17	9.81	9999
ESSE03 	ESSR20 	U	-63.96		-	4.21	10.02	9999
ESSE03 	ESSR01 	U	-62.68		-	4.33	8.62	9999
ESSE03 	ESSR02 	U	-60.75		-	2.73	6.80	9999
ESSE03 	ESSR03 	U	-64.07		-	1.99	5.67	9999
ESSE03 	ESSR04 	U	-64.20		-	2.05	5.38	9999
ESSE03 	ESSR05 	U	-54.74		-	3.40	7.56	9999
ESSE03 	ESSR06 	U	-68.92		-	1.26	3.55	9999
ESSE03 	ESSR07 	U	-56.74		-	3.82	8.89	9999
ESSE03 	ESSR08 	U	-65.62		-	3.62	8.49	9999
ESSE03 	ESSR09 	U	-64.70		-	2.60	5.62	9999
ESSE03 	ESSR10 	U	-50.47		-	0.43	2.44	9999
ESSE03 	ESSR11 	U	-60.16		-	0.23	2.64	9999
ESSE03 	ESSR12 	U	-59.37		-	3.52	8.48	9999
ESSE03 	ESSR13 	U	-52.26		-	1.45	3.37	9999
ESSE03 	ESSR14 	U	-71.46		-	0.90	3.50	9999
ESSE03 	ESSR15 	U	-53.66		-	1.49	4.79	9999
ESSE03 	ESSR16 	U	-62.38		-	3.30	7.91	9999
ESSE03 	ESSR17 	HS	-64.45		1.57	-	2.04	9999
ESSE03 	ESSR21 	U	-59.60		-	1.45	5.41	9999
ESSE03 	ESSR22 	U	-60.61		-	0.32	1.79	9999
ESSE03 	ESSR23 	U	-65.54		-	3.65	7.90	9999
ESSE03 	ESSR24 	HS	-56.24		1.50	-	3.07	9999
ESSE03 	ESSR25 	U	-63.86		-	3.43	8.59	9999
ESSE03 	ESSR26 	U	-61.70		-	4.18	8.63	9999
ESSE03 	ESSR27 	U	-60.86		-	3.35	7.63	9999
ESSE03 	ESSR28 	U	-52.69		-	4.28	9.66	9999
ESSE03 	ESSE01 	U	-59.42		-	1.75	4.65	9999
ESSE03 	ESSE02 	HS	-74.08		0.14	-	2.12	9999
ESSE04 	ESSR18 	HS	-48.92		1.01	-	0.63	9999
ESSE04 	ESSR19 	U	-58.46		-	2.29	6.49	9999
ESSE04 	ESSR20 	U	-54.32		-	1.17	4.55	9999
ESSE04 	ESSR01 	U	-53.89		-	3.57	7.98	9999
ESSE04 	ESSR02 	U	-53.42		-	0.80	3.95	9999
ESSE04 	ESSR03 	U	-54.60		-	0.75	3.23	9999
ESSE04 	ESSR04 	U	-56.87		-	1.03	3.69	9999
ESSE04 	ESSR05 	U	-49.15		-	1.43	3.12	9999
ESSE04 	ESSR06 	U	-61.59		-	1.65	4.01	9999
ESSE04 	ESSR07 	U	-50.47		-	0.61	3.18	9999
ESSE04 	ESSR08 	U	-54.85		-	2.78	6.89	9999
ESSE04 	ESSR09 	U	-55.23		-	2.50	6.52	9999
ESSE04 	ESSR10 	HS	-46.28		0.19	-	1.07	9999
ESSE04 	ESSR11 	U	-52.82		-	3.51	8.32	9999
ESSE04 	ESSR12 	U	-56.97		-	1.68	4.57	9999
ESSE04 	ESSR13 	U	-42.41		-	0.64	2.32	9999
ESSE04 	ESSR14 	U	-61.29		-	0.23	3.02	9999
ESSE04 	ESSR15 	HS	-43.59		0.33	-	0.48	9999
ESSE04 	ESSR16 	U	-55.04		-	0.32	3.62	9999
ESSE04 	ESSR17 	U	-58.69		-	1.13	3.26	9999
ESSE04 	ESSR21 	U	-53.77		-	0.71	4.28	9999
ESSE04 	ESSR22 	U	-58.21		-	1.35	2.95	9999
ESSE04 	ESSR23 	HS	-62.05		1.08	-	2.27	9999
ESSE04 	ESSR24 	U	-55.33		-	4.02	8.44	9999
ESSE04 	ESSR25 	U	-61.46		-	2.20	6.13	9999
ESSE04 	ESSR26 	U	-62.49		-	4.23	9.36	9999
ESSE04 	ESSR27 	U	-58.46		-	2.34	5.79	9999
ESSE04 	ESSR28 	HS	-50.20		0.08	-	2.68	9999
ESSE04 	ESSE01 	U	-48.65		-	1.11	4.17	9999
ESSE04 	ESSE02 	HS	-63.91		0.15	-	2.86	9999
ESSE04 	ESSE03 	U	-56.34		-	4.07	8.35	9999
ESSE05 	ESSR18 	HS	-54.43		0.47	-	1.90	9999
ESSE05 	ESSR19 	U	-60.32		-	0.61	2.55	9999
ESSE05 	ESSR20 	HS	-58.24		0.25	-	2.95	9999
ESSE05 	ESSR01 	U	-57.21		-	0.48	3.75	9999
ESSE05 	ESSR02 	U	-55.28		-	0.54	3.77	9999
ESSE05 	ESSR03 	U	-58.60		-	2.88	6.90	9999
ESSE05 	ESSR04 	U	-58.73		-	0.15	2.54	9999
ESSE05 	ESSR05 	U	-51.56		-	0.60	3.98	9999
ESSE05 	ESSR06 	HS	-62.49		0.95	-	1.64	9999
ESSE05 	ESSR07 	U	-53.56		-	1.54	4.07	9999
ESSE05 	ESSR08 	U	-60.14		-	1.58	5.85	9999
ESSE05 	ESSR09 	U	-59.23		-	0.23	3.75	9999
ESSE05 	ESSR10 	HS	-47.54		1.25	-	1.06	9999
ESSE05 	ESSR11 	HS	-54.25		0.44	-	2.31	9999
ESSE05 	ESSR12 	HS	-56.05		0.69	-	2.52	9999
ESSE05 	ESSR13 	U	-46.24		-	1.50	4.77	9999
ESSE05 	ESSR14 	FS	-61.85		4.13	0.90	-	9999
ESSE05 	ESSR15 	HS	-47.46		0.18	-	2.06	9999
ESSE05 	ESSR16 	HS	-55.82		1.09	-	1.94	9999
ESSE05 	ESSR17 	U	-60.55		-	0.83	4.40	9999
ESSE05 	ESSR21 	U	-54.87		-	4.04	9.13	9999
ESSE05 	ESSR22 	U	-57.98		-	3.14	7.98	9999
ESSE05 	ESSR23 	U	-62.91		-	3.90	9.16	9999
ESSE05 	ESSR24 	U	-55.11		-	3.17	8.00	9999
ESSE05 	ESSR25 	U	-61.23		-	1.75	4.89	9999
ESSE05 	ESSR26 	U	-61.36		-	2.48	6.87	9999
ESSE05 	ESSR27 	U	-58.23		-	0.70	2.91	9999
ESSE05 	ESSR28 	U	-50.05		-	1.14	5.01	9999
ESSE05 	ESSE01 	U	-53.94		-	2.09	5.90	9999
ESSE05 	ESSE02 	U	-68.75		-	0.26	2.94	9999
ESSE05 	ESSE03 	U	-61.04		-	2.14	5.96	9999
ESSE05 	ESSE04 	U	-53.70		-	0.78	4.38	9999
ESSE06 	ESSR18 	U	-64.82		-	4.53	10.29	9999
ESSE06 	ESSR19 	U	-70.23		-	1.86	4.80	9999
ESSE06 	ESSR20 	U	-68.39		-	3.36	8.76	9999
ESSE06 	ESSR01 	U	-67.12		-	0.65	2.71	9999
ESSE06 	ESSR02 	U	-65.19		-	3.22	8.41	9999
ESSE06 	ESSR03 	U	-68.51		-	3.78	9.14	9999
ESSE06 	ESSR04 	U	-68.64		-	4.37	9.92	9999
ESSE06 	ESSR05 	U	-61.47		-	2.06	6.26	9999
ESSE06 	ESSR06 	U	-73.36		-	3.36	8.56	9999
ESSE06 	ESSR07 	U	-63.47		-	3.39	8.30	9999
ESSE06 	ESSR08 	U	-70.06		-	2.03	6.72	9999
ESSE06 	ESSR09 	U	-69.14		-	3.95	9.52	9999
ESSE06 	ESSR10 	U	-55.96		-	3.10	7.81	9999
ESSE06 	ESSR11 	U	-64.60		-	2.01	5.98	9999
ESSE06 	ESSR12 	U	-62.62		-	2.28	6.00	9999
ESSE06 	ESSR13 	U	-56.76		-	0.84	3.33	9999
ESSE06 	ESSR14 	U	-75.90		-	4.37	9.61	9999
ESSE06 	ESSR15 	U	-58.16		-	3.89	8.97	9999
ESSE06 	ESSR16 	U	-66.82		-	0.24	3.31	9999
ESSE06 	ESSR17 	U	-70.46		-	0.79	5.38	9999
ESSE06 	ESSR21 	U	-59.83		-	3.17	7.84	9999
ESSE06 	ESSR22 	U	-63.86		-	0.40	3.91	9999
ESSE06 	ESSR23 	U	-68.79		-	2.29	6.69	9999
ESSE06 	ESSR24 	U	-60.99		-	3.51	8.47	9999
ESSE06 	ESSR25 	U	-67.11		-	1.94	5.89	9999
ESSE06 	ESSR26 	U	-67.24		-	5.21	10.79	9999
ESSE06 	ESSR27 	U	-64.11		-	3.56	8.03	9999
ESSE06 	ESSR28 	U	-55.93		-	2.41	6.66	9999
ESSE06 	ESSE01 	U	-63.86		-	1.05	5.00	9999
ESSE06 	ESSE02 	U	-78.66		-	1.38	5.58	9999
ESSE06 	ESSE03 	U	-70.95		-	0.93	5.61	9999
ESSE06 	ESSE04 	U	-59.59		-	0.99	3.69	9999
ESSE06 	ESSE05 	U	-65.48		-	3.56	8.32	9999
ESSE07 	ESSR18 	U	-61.07		-	1.93	4.38	9999
ESSE07 	ESSR19 	U	-66.48		-	4.00	8.23	9999
ESSE07 	ESSR20 	U	-64.64		-	3.15	8.12	9999
ESSE07 	ESSR01 	U	-63.37		-	0.94	5.09	9999
ESSE07 	ESSR02 	U	-61.44		-	1.47	4.26	9999
ESSE07 	ESSR03 	U	-64.76		-	3.24	8.28	9999
ESSE07 	ESSR04 	U	-64.89		-	1.92	5.26	9999
ESSE07 	ESSR05 	U	-54.63		-	2.03	5.69	9999
ESSE07 	ESSR06 	U	-69.61		-	3.32	8.07	9999
ESSE07 	ESSR07 	U	-56.63		-	1.74	4.94	9999
ESSE07 	ESSR08 	U	-66.31		-	2.14	6.58	9999
ESSE07 	ESSR09 	U	-65.39		-	3.43	8.52	9999
ESSE07 	ESSR10 	U	-54.37		-	2.63	6.48	9999
ESSE07 	ESSR11 	U	-60.85		-	3.47	6.77	9999
ESSE07 	ESSR12 	U	-62.90		-	1.27	5.31	9999
ESSE07 	ESSR13 	U	-52.40		-	1.19	4.05	9999
ESSE07 	ESSR14 	U	-72.15		-	3.32	8.85	9999
ESSE07 	ESSR15 	U	-53.80		-	3.70	8.57	9999
ESSE07 	ESSR16 	U	-63.07		-	0.90	3.03	9999
ESSE07 	ESSR17 	U	-66.71		-	2.10	6.26	9999
ESSE07 	ESSR21 	HS	-61.82		1.30	-	2.94	9999
ESSE07 	ESSR22 	U	-64.14		-	3.77	8.99	9999
ESSE07 	ESSR23 	U	-69.07		-	1.33	4.26	9999
ESSE07 	ESSR24 	U	-61.27		-	3.72	8.73	9999
ESSE07 	ESSR25 	U	-67.39		-	2.13	6.89	9999
ESSE07 	ESSR26 	U	-64.43		-	4.43	8.97	9999
ESSE07 	ESSR27 	U	-64.39		-	3.72	8.80	9999
ESSE07 	ESSR28 	U	-56.21		-	3.38	8.12	9999
ESSE07 	ESSE01 	U	-60.11		-	2.87	6.87	9999
ESSE07 	ESSE02 	U	-74.91		-	3.19	8.25	9999
ESSE07 	ESSE03 	U	-67.20		-	3.79	8.54	9999
ESSE07 	ESSE04 	U	-59.87		-	0.27	2.83	9999
ESSE07 	ESSE05 	U	-61.72		-	2.96	6.21	9999
ESSE07 	ESSE06 	U	-71.64		-	2.03	5.75	9999
ESSE08 	ESSR18 	U	-55.56		-	2.75	7.56	9999
ESSE08 	ESSR19 	U	-60.97		-	0.28	0.61	9999
ESSE08 	ESSR20 	U	-59.14		-	2.63	6.75	9999
ESSE08 	ESSR01 	U	-57.86		-	1.28	4.63	9999
ESSE08 	ESSR02 	U	-55.93		-	3.42	7.42	9999
ESSE08 	ESSR03 	U	-59.25		-	1.37	4.18	9999
ESSE08 	ESSR04 	U	-59.39		-	3.40	8.10	9999
ESSE08 	ESSR05 	U	-50.61		-	0.46	3.03	9999
ESSE08 	ESSR06 	U	-64.10		-	0.00	2.42	9999
ESSE08 	ESSR07 	U	-52.61		-	2.25	6.45	9999
ESSE08 	ESSR08 	U	-60.80		-	4.65	9.69	9999
ESSE08 	ESSR09 	U	-59.88		-	3.21	7.37	9999
ESSE08 	ESSR10 	U	-48.98		-	1.02	3.62	9999
ESSE08 	ESSR11 	U	-55.34		-	0.69	4.23	9999
ESSE08 	ESSR12 	U	-57.40		-	0.31	1.29	9999
ESSE08 	ESSR13 	U	-47.50		-	0.73	3.62	9999
ESSE08 	ESSR14 	U	-66.64		-	0.87	2.18	9999
ESSE08 	ESSR15 	U	-48.90		-	0.58	1.64	9999
ESSE08 	ESSR16 	HS	-56.52		1.04	-	1.69	9999
ESSE08 	ESSR17 	U	-61.20		-	1.73	4.37	9999
ESSE08 	ESSR21 	U	-57.21		-	2.99	7.78	9999
ESSE08 	ESSR22 	U	-58.63		-	2.18	4.36	9999
ESSE08 	ESSR23 	U	-63.56		-	3.14	7.60	9999
ESSE08 	ESSR24 	U	-55.76		-	4.65	10.31	9999
ESSE08 	ESSR25 	U	-61.88		-	1.54	5.75	9999
ESSE08 	ESSR26 	U	-60.41		-	3.18	7.96	9999
ESSE08 	ESSR27 	U	-58.89		-	1.35	5.48	9999
ESSE08 	ESSR28 	U	-50.71		-	1.71	3.40	9999
ESSE08 	ESSE01 	U	-54.60		-	2.42	5.82	9999
ESSE08 	ESSE02 	U	-69.40		-	2.49	7.23	9999
ESSE08 	ESSE03 	U	-61.69		-	2.92	8.06	9999
ESSE08 	ESSE04 	U	-54.36		-	0.90	3.34	9999
ESSE08 	ESSE05 	HS	-56.11		0.11	-	2.19	9999
ESSE08 	ESSE06 	U	-66.13		-	0.48	2.62	9999
ESSE08 	ESSE07 	U	-62.38		-	1.06	5.03	9999
ESSE09 	ESSR18 	U	-61.24		-	1.20	2.74	9999
ESSE09 	ESSR19 	U	-66.66		-	4.44	10.16	9999
ESSE09 	ESSR20 	U	-64.82		-	0.93	4.88	9999
ESSE09 	ESSR01 	U	-63.55		-	2.69	5.87	9999
ESSE09 	ESSR02 	U	-61.62		-	2.65	7.22	9999
ESSE09 	ESSR03 	U	-64.94		-	3.02	7.67	9999
ESSE09 	ESSR04 	U	-65.07		-	1.48	5.38	9999
ESSE09 	ESSR05 	U	-58.81		-	4.20	8.73	9999
ESSE09 	ESSR06 	U	-69.78		-	3.13	8.31	9999
ESSE09 	ESSR07 	HS	-60.65		0.16	-	3.55	9999
ESSE09 	ESSR08 	U	-66.48		-	1.66	4.31	9999
ESSE09 	ESSR09 	U	-65.57		-	4.32	9.58	9999
ESSE09 	ESSR10 	U	-54.67		-	3.09	7.09	9999
ESSE09 	ESSR11 	U	-61.02		-	5.52	11.79	9999
ESSE09 	ESSR12 	U	-60.69		-	0.84	3.57	9999
ESSE09 	ESSR13 	U	-52.58		-	2.94	7.53	9999
ESSE09 	ESSR14 	U	-72.33		-	2.61	7.73	9999
ESSE09 	ESSR15 	U	-53.98		-	2.41	5.55	9999
ESSE09 	ESSR16 	U	-63.24		-	2.08	5.59	9999
ESSE09 	ESSR17 	HS	-66.46		0.43	-	2.50	9999
ESSE09 	ESSR21 	U	-58.41		-	1.71	5.94	9999
ESSE09 	ESSR22 	U	-61.93		-	1.00	3.51	9999
ESSE09 	ESSR23 	U	-66.85		-	1.78	5.85	9999
ESSE09 	ESSR24 	U	-59.05		-	4.12	9.20	9999
ESSE09 	ESSR25 	U	-65.18		-	4.74	10.02	9999
ESSE09 	ESSR26 	U	-66.21		-	1.76	6.05	9999
ESSE09 	ESSR27 	U	-62.18		-	3.71	8.91	9999
ESSE09 	ESSR28 	U	-54.00		-	1.34	4.84	9999
ESSE09 	ESSE01 	U	-60.28		-	3.08	7.78	9999
ESSE09 	ESSE02 	U	-75.09		-	2.16	5.70	9999
ESSE09 	ESSE03 	U	-67.38		-	2.16	6.96	9999
ESSE09 	ESSE04 	HS	-57.57		0.08	-	0.94	9999
ESSE09 	ESSE05 	U	-61.90		-	1.08	3.82	9999
ESSE09 	ESSE06 	U	-71.82		-	4.62	10.42	9999
ESSE09 	ESSE07 	U	-68.07		-	1.31	4.20	9999
ESSE09 	ESSE08 	U	-62.56		-	0.16	3.09	9999
ESSE10 	ESSR18 	U	-53.15		-	1.10	4.38	9999
ESSE10 	ESSR19 	U	-56.55		-	3.47	7.91	9999
ESSE10 	ESSR20 	U	-56.53		-	2.71	7.47	9999
ESSE10 	ESSR01 	U	-53.92		-	3.26	8.01	9999
ESSE10 	ESSR02 	U	-51.46		-	2.25	5.39	9999
ESSE10 	ESSR03 	U	-54.29		-	3.25	7.23	9999
ESSE10 	ESSR04 	U	-53.90		-	1.11	3.94	9999
ESSE10 	ESSR05 	U	-47.23		-	2.69	6.16	9999
ESSE10 	ESSR06 	U	-60.23		-	1.11	3.35	9999
ESSE10 	ESSR07 	U	-47.01		-	2.06	5.97	9999
ESSE10 	ESSR08 	U	-57.91		-	4.18	8.92	9999
ESSE10 	ESSR09 	U	-55.92		-	0.62	3.46	9999
ESSE10 	ESSR10 	HS	-44.94		0.52	-	1.52	9999
ESSE10 	ESSR11 	U	-52.65		-	1.18	2.23	9999
ESSE10 	ESSR12 	U	-53.79		-	3.19	7.80	9999
ESSE10 	ESSR13 	U	-44.50		-	1.26	3.28	9999
ESSE10 	ESSR14 	U	-63.71		-	1.39	4.03	9999
ESSE10 	ESSR15 	U	-45.85		-	0.73	2.11	9999
ESSE10 	ESSR16 	U	-54.72		-	2.17	5.41	9999
ESSE10 	ESSR17 	U	-57.32		-	0.17	2.38	9999
ESSE10 	ESSR21 	U	-54.19		-	1.57	4.29	9999
ESSE10 	ESSR22 	U	-55.95		-	0.94	1.85	9999
ESSE10 	ESSR23 	U	-57.40		-	3.06	6.89	9999
ESSE10 	ESSR24 	U	-53.32		-	0.91	4.71	9999
ESSE10 	ESSR25 	U	-58.95		-	3.05	7.61	9999
ESSE10 	ESSR26 	U	-56.36		-	3.88	7.94	9999
ESSE10 	ESSR27 	U	-54.66		-	3.15	7.71	9999
ESSE10 	ESSR28 	U	-47.87		-	3.65	8.35	9999
ESSE10 	ESSE01 	U	-52.19		-	2.77	7.31	9999
ESSE10 	ESSE02 	U	-66.52		-	0.38	3.15	9999
ESSE10 	ESSE03 	FS	-49.29		10.04	3.91	-	0.81
ESSE10 	ESSE04 	U	-49.15		-	3.45	7.20	9999
ESSE10 	ESSE05 	U	-53.29		-	0.50	3.48	9999
ESSE10 	ESSE06 	U	-63.37		-	4.30	9.06	9999
ESSE10 	ESSE07 	U	-58.05		-	2.61	6.22	9999
ESSE10 	ESSE08 	U	-51.56		-	1.51	4.59	9999
ESSE10 	ESSE09 	U	-57.32		-	0.72	4.60	9999
ESSE11 	ESSR18 	U	-53.27		-	3.20	7.89	9999
ESSE11 	ESSR19 	U	-58.69		-	1.85	5.40	9999
ESSE11 	ESSR20 	U	-56.85		-	3.23	7.95	9999
ESSE11 	ESSR01 	HS	-54.95		0.63	-	2.26	9999
ESSE11 	ESSR02 	U	-53.65		-	3.01	7.54	9999
ESSE11 	ESSR03 	U	-56.97		-	2.17	5.65	9999
ESSE11 	ESSR04 	U	-57.10		-	1.33	4.21	9999
ESSE11 	ESSR05 	HS	-49.80		1.04	-	0.01	9999
ESSE11 	ESSR06 	U	-61.81		-	2.60	7.24	9999
ESSE11 	ESSR07 	U	-52.83		-	2.09	5.37	9999
ESSE11 	ESSR08 	U	-58.51		-	1.99	6.17	9999
ESSE11 	ESSR09 	U	-57.60		-	2.33	6.63	9999
ESSE11 	ESSR10 	U	-46.70		-	1.33	4.20	9999
ESSE11 	ESSR11 	U	-53.05		-	2.13	5.03	9999
ESSE11 	ESSR12 	U	-53.65		-	2.37	5.09	9999
ESSE11 	ESSR13 	U	-44.57		-	0.33	1.32	9999
ESSE11 	ESSR14 	U	-64.36		-	4.82	9.46	9999
ESSE11 	ESSR15 	U	-45.97		-	0.81	3.39	9999
ESSE11 	ESSR16 	U	-55.27		-	2.22	6.73	9999
ESSE11 	ESSR17 	U	-58.92		-	1.71	5.17	9999
ESSE11 	ESSR21 	U	-53.46		-	1.79	5.85	9999
ESSE11 	ESSR22 	FS	-54.59		0.30	0.03	-	9999
ESSE11 	ESSR23 	U	-59.82		-	1.45	3.64	9999
ESSE11 	ESSR24 	U	-52.02		-	2.28	6.56	9999
ESSE11 	ESSR25 	U	-58.14		-	1.06	4.44	9999
ESSE11 	ESSR26 	U	-59.18		-	4.04	8.34	9999
ESSE11 	ESSR27 	U	-55.14		-	2.70	7.21	9999
ESSE11 	ESSR28 	U	-46.96		-	1.39	4.33	9999
ESSE11 	ESSE01 	U	-52.31		-	0.25	2.08	9999
ESSE11 	ESSE02 	U	-67.12		-	2.48	7.21	9999
ESSE11 	ESSE03 	U	-59.41		-	3.15	7.38	9999
ESSE11 	ESSE04 	HS	-50.44		0.17	-	0.60	9999
ESSE11 	ESSE05 	U	-53.93		-	2.64	7.47	9999
ESSE11 	ESSE06 	PO	-61.61		2.23	0.71	2.89	-
ESSE11 	ESSE07 	U	-60.09		-	0.10	3.07	9999
ESSE11 	ESSE08 	HS	-53.05		1.53	-	0.76	9999
ESSE11 	ESSE09 	U	-60.27		-	3.49	7.35	9999
ESSE11 	ESSE10 	U	-50.97		-	3.07	6.36	9999
ESSE12 	ESSR18 	U	-69.69		-	3.68	8.42	9999
ESSE12 	ESSR19 	U	-75.10		-	3.58	8.90	9999
ESSE12 	ESSR20 	U	-73.27		-	2.55	6.56	9999
ESSE12 	ESSR01 	U	-71.99		-	3.89	9.31	9999
ESSE12 	ESSR02 	U	-70.06		-	4.61	10.60	9999
ESSE12 	ESSR03 	U	-73.38		-	4.05	9.67	9999
ESSE12 	ESSR04 	U	-73.51		-	0.87	4.46	9999
ESSE12 	ESSR05 	U	-66.34		-	0.77	4.02	9999
ESSE12 	ESSR06 	U	-78.23		-	1.99	6.67	9999
ESSE12 	ESSR07 	U	-68.34		-	1.14	5.33	9999
ESSE12 	ESSR08 	U	-74.93		-	3.99	8.99	9999
ESSE12 	ESSR09 	U	-74.01		-	2.79	7.99	9999
ESSE12 	ESSR10 	HS	-61.95		0.23	-	2.63	9999
ESSE12 	ESSR11 	U	-69.47		-	1.81	6.20	9999
ESSE12 	ESSR12 	U	-64.20		-	2.49	6.07	9999
ESSE12 	ESSR13 	U	-60.38		-	1.80	5.89	9999
ESSE12 	ESSR14 	U	-80.77		-	2.25	6.95	9999
ESSE12 	ESSR15 	U	-61.78		-	3.07	7.73	9999
ESSE12 	ESSR16 	U	-71.69		-	2.12	5.52	9999
ESSE12 	ESSR17 	HS	-74.37		0.96	-	1.33	9999
ESSE12 	ESSR21 	HS	-64.05		0.37	-	2.20	9999
ESSE12 	ESSR22 	U	-65.44		-	1.52	5.47	9999
ESSE12 	ESSR23 	U	-70.36		-	2.67	7.37	9999
ESSE12 	ESSR24 	U	-62.56		-	4.76	10.45	9999
ESSE12 	ESSR25 	U	-68.69		-	3.25	8.15	9999
ESSE12 	ESSR26 	U	-68.82		-	2.59	7.14	9999
ESSE12 	ESSR27 	U	-65.69		-	4.28	9.71	9999
ESSE12 	ESSR28 	U	-57.51		-	3.89	8.96	9999
ESSE12 	ESSE01 	U	-68.73		-	3.63	8.93	9999
ESSE12 	ESSE02 	U	-83.53		-	3.39	8.52	9999
ESSE12 	ESSE03 	U	-75.82		-	3.52	8.45	9999
ESSE12 	ESSE04 	U	-61.16		-	0.78	4.19	9999
ESSE12 	ESSE05 	U	-70.35		-	3.64	8.99	9999
ESSE12 	ESSE06 	U	-80.26		-	4.13	9.62	9999
ESSE12 	ESSE07 	U	-76.51		-	2.68	6.45	9999
ESSE12 	ESSE08 	U	-71.00		-	2.52	7.26	9999
ESSE12 	ESSE09 	U	-76.69		-	4.34	9.88	9999
ESSE12 	ESSE10 	U	-66.77		-	2.51	6.63	9999
ESSE12 	ESSE11 	U	-68.72		-	1.64	5.94	9999
ESSE13 	ESSR18 	U	-50.18		-	0.67	3.29	9999
ESSE13 	ESSR19 	U	-55.59		-	1.35	5.05	9999
ESSE13 	ESSR20 	U	-53.76		-	1.24	3.94	9999
ESSE13 	ESSR01 	U	-52.48		-	0.67	2.51	9999
ESSE13 	ESSR02 	U	-50.55		-	1.36	4.69	9999
ESSE13 	ESSR03 	U	-53.87		-	2.77	6.20	9999
ESSE13 	ESSR04 	U	-54.00		-	1.81	4.77	9999
ESSE13 	ESSR05 	U	-47.74		-	2.59	6.94	9999
ESSE13 	ESSR06 	U	-58.72		-	1.53	4.86	9999
ESSE13 	ESSR07 	HS	-49.37		0.37	-	1.87	9999
ESSE13 	ESSR08 	U	-55.42		-	1.77	5.10	9999
ESSE13 	ESSR09 	HS	-53.70		0.80	-	2.35	9999
ESSE13 	ESSR10 	U	-43.69		-	1.73	5.30	9999
ESSE13 	ESSR11 	U	-49.96		-	2.18	5.59	9999
ESSE13 	ESSR12 	U	-52.01		-	0.22	3.03	9999
ESSE13 	ESSR13 	HS	-41.40		1.04	-	0.79	9999
ESSE13 	ESSR14 	U	-61.26		-	3.60	8.40	9999
ESSE13 	ESSR15 	U	-43.84		-	1.64	4.65	9999
ESSE13 	ESSR16 	HS	-51.73		0.45	-	1.31	9999
ESSE13 	ESSR17 	U	-55.82		-	3.40	8.11	9999
ESSE13 	ESSR21 	U	-51.83		-	2.30	6.45	9999
ESSE13 	ESSR22 	U	-53.25		-	0.98	3.29	9999
ESSE13 	ESSR23 	U	-58.18		-	1.16	3.30	9999
ESSE13 	ESSR24 	U	-50.38		-	2.56	5.60	9999
