Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
ESSR11 	ESSR20 	U	-57.60		-	2.33	7.07	9999
ESSR11 	ESSR01 	U	-56.33		-	0.72	4.47	9999
ESSR11 	ESSR02 	U	-54.40		-	0.02	2.18	9999
ESSR11 	ESSR03 	HS	-56.96		0.76	-	2.12	0.02
ESSR11 	ESSR04 	U	-57.85		-	0.30	2.73	9999
ESSR11 	ESSR05 	U	-50.68		-	0.17	0.85	9999
ESSR11 	ESSR06 	U	-62.56		-	2.92	7.30	9999
ESSR11 	ESSR07 	U	-52.68		-	1.04	3.87	9999
ESSR11 	ESSR08 	U	-59.26		-	2.65	6.86	9999
ESSR11 	ESSR09 	HS	-57.74		0.61	-	1.82	9999
ESSR11 	ESSR10 	U	-46.86		-	1.16	4.38	9999
ESSR12 	ESSR18 	U	-52.96		-	1.91	5.99	9999
ESSR12 	ESSR19 	U	-61.50		-	3.56	7.86	9999
ESSR12 	ESSR20 	HS	-57.12		0.24	-	2.34	9999
ESSR12 	ESSR01 	U	-56.93		-	3.41	8.34	9999
ESSR12 	ESSR02 	U	-56.45		-	3.00	7.62	9999
ESSR12 	ESSR03 	U	-57.64		-	1.80	5.27	9999
ESSR12 	ESSR04 	U	-59.91		-	1.03	5.03	9999
ESSR12 	ESSR05 	U	-51.28		-	2.40	4.94	9999
ESSR12 	ESSR06 	U	-64.62		-	1.26	3.45	9999
ESSR12 	ESSR07 	HS	-51.52		1.08	-	2.60	9999
ESSR12 	ESSR08 	U	-57.88		-	1.73	6.14	9999
ESSR12 	ESSR09 	U	-58.27		-	0.75	4.33	9999
ESSR12 	ESSR10 	U	-49.51		-	1.31	4.34	9999
ESSR12 	ESSR11 	U	-55.86		-	1.55	3.74	9999
ESSR13 	ESSR18 	PO	-45.21		0.37	0.07	2.90	-
ESSR13 	ESSR19 	HS	-51.03		0.58	-	0.68	9999
ESSR13 	ESSR20 	U	-50.09		-	1.13	4.23	9999
ESSR13 	ESSR01 	U	-48.49		-	1.97	5.35	9999
ESSR13 	ESSR02 	U	-46.46		-	1.40	4.45	9999
ESSR13 	ESSR03 	HS	-49.32		0.18	-	1.77	9999
ESSR13 	ESSR04 	U	-47.83		-	0.63	3.32	9999
ESSR13 	ESSR05 	U	-42.20		-	1.06	4.23	9999
ESSR13 	ESSR06 	U	-54.39		-	0.99	3.97	9999
ESSR13 	ESSR07 	HS	-44.12		1.05	-	0.32	9999
ESSR13 	ESSR08 	U	-50.17		-	0.05	2.73	9999
ESSR13 	ESSR09 	HS	-49.61		0.85	-	2.27	9999
ESSR13 	ESSR10 	U	-39.84		-	0.48	1.89	9999
ESSR13 	ESSR11 	HS	-44.11		0.01	-	1.58	9999
ESSR13 	ESSR12 	U	-44.26		-	1.81	4.91	9999
ESSR14 	ESSR18 	HS	-64.41		0.92	-	2.36	9999
ESSR14 	ESSR19 	U	-70.74		-	1.73	6.36	9999
ESSR14 	ESSR20 	U	-68.91		-	3.71	9.18	9999
ESSR14 	ESSR01 	U	-67.63		-	1.92	7.09	9999
ESSR14 	ESSR02 	U	-65.70		-	3.39	8.60	9999
ESSR14 	ESSR03 	U	-69.02		-	5.85	12.38	9999
ESSR14 	ESSR04 	U	-69.15		-	0.89	5.12	9999
ESSR14 	ESSR05 	U	-60.38		-	1.79	5.12	9999
ESSR14 	ESSR06 	HS	-70.23		3.64	-	1.98	9999
ESSR14 	ESSR07 	U	-62.38		-	3.09	7.08	9999
ESSR14 	ESSR08 	U	-70.57		-	3.06	8.49	9999
ESSR14 	ESSR09 	U	-69.65		-	3.10	8.21	9999
ESSR14 	ESSR10 	FS	-52.09		2.65	0.43	-	9999
ESSR14 	ESSR11 	U	-65.11		-	2.92	8.01	9999
ESSR14 	ESSR12 	U	-64.32		-	0.68	3.78	9999
ESSR14 	ESSR13 	U	-55.31		-	0.91	3.13	9999
ESSR15 	ESSR18 	FS	-45.27		1.71	0.62	-	9999
ESSR15 	ESSR19 	U	-53.00		-	0.45	1.87	9999
ESSR15 	ESSR20 	HS	-50.75		0.73	-	2.51	9999
ESSR15 	ESSR01 	U	-49.89		-	3.31	7.60	9999
ESSR15 	ESSR02 	U	-47.86		-	0.21	2.25	9999
ESSR15 	ESSR03 	PO	-44.94		5.96	2.15	0.01	-
ESSR15 	ESSR04 	U	-49.23		-	1.40	4.55	9999
ESSR15 	ESSR05 	PO	-43.54		0.96	0.18	0.80	-
ESSR15 	ESSR06 	U	-55.79		-	3.44	8.22	9999
ESSR15 	ESSR07 	U	-47.47		-	0.01	2.10	9999
ESSR15 	ESSR08 	U	-51.57		-	0.82	4.24	9999
ESSR15 	ESSR09 	FS	-49.86		1.99	0.44	-	9999
ESSR15 	ESSR10 	U	-40.33		-	1.57	4.28	9999
ESSR15 	ESSR11 	HS	-44.16		1.36	-	0.67	9999
ESSR15 	ESSR12 	U	-45.76		-	2.04	5.30	9999
ESSR15 	ESSR13 	HS	-45.12		0.06	-	3.22	9999
ESSR15 	ESSR14 	U	-56.71		-	2.85	7.41	9999
ESSR16 	ESSR18 	U	-56.24		-	0.31	2.54	9999
ESSR16 	ESSR19 	U	-61.66		-	1.00	3.93	9999
ESSR16 	ESSR20 	U	-59.82		-	1.73	5.20	9999
ESSR16 	ESSR01 	U	-58.55		-	2.28	6.88	9999
ESSR16 	ESSR02 	U	-56.62		-	1.15	3.93	9999
ESSR16 	ESSR03 	U	-59.94		-	2.79	7.67	9999
