ESSR20 	ESSR18 	0.1750
ESSR20 	ESSR19 	0.5000
ESSR20 	ESSR20 	1.0000
ESSR20 	ESSR01 	0.0000
ESSR20 	ESSR02 	0.2948
ESSR20 	ESSR03 	0.0000
ESSR20 	ESSR04 	0.0000
ESSR20 	ESSR05 	0.0000
ESSR20 	ESSR06 	0.0000
ESSR20 	ESSR07 	0.2300
ESSR20 	ESSR08 	0.0378
ESSR20 	ESSR09 	0.2914
ESSR20 	ESSR10 	0.0127
ESSR20 	ESSR11 	0.0000
ESSR20 	ESSR12 	0.1120
ESSR20 	ESSR13 	0.0000
ESSR20 	ESSR14 	0.0000
ESSR20 	ESSR15 	0.2647
ESSR20 	ESSR16 	0.0000
ESSR20 	ESSR17 	0.0000
ESSR20 	ESSR21 	0.1004
ESSR20 	ESSR22 	0.0000
ESSR20 	ESSR23 	0.0000
ESSR20 	ESSR24 	0.0028
ESSR20 	ESSR25 	0.1081
ESSR20 	ESSR26 	0.0000
ESSR20 	ESSR27 	0.0178
ESSR20 	ESSR28 	0.3302
ESSR20 	ESSE01 	0.0000
ESSR20 	ESSE02 	0.0000
ESSR20 	ESSE03 	0.0000
ESSR20 	ESSE04 	0.0000
ESSR20 	ESSE05 	0.1580
ESSR20 	ESSE06 	0.0000
ESSR20 	ESSE07 	0.0000
ESSR20 	ESSE08 	0.0000
ESSR20 	ESSE09 	0.0529
ESSR20 	ESSE10 	0.0000
ESSR20 	ESSE11 	0.0000
ESSR20 	ESSE12 	0.0703
ESSR20 	ESSE13 	0.0328
ESSR20 	ESSE14 	0.0000
ESSR20 	ESSE15 	0.0000
ESSR20 	ESSE16 	0.2917
ESSR20 	ESSE17 	0.0000
ESSR20 	ESSE18 	0.2095
ESSR20 	ESSE19 	0.0000
ESSR20 	ESSE20 	0.3475
ESSR20 	ESSE21 	0.0000
ESSR20 	ESSE22 	0.0420
ESSR20 	ESSE23 	0.0000
ESSR20 	ESSE24 	0.0000
ESSR20 	ESSE25 	0.0595
ESSR20 	ESSE26 	0.1364
ESSR20 	ESSE27 	0.0000
ESSR20 	ESSE28 	0.0000
ESSR20 	ESSH10 	0.0000
ESSR20 	ESSH11 	0.0000
ESSR20 	ESSH12 	0.1258
ESSR20 	ESSH13 	0.0098
ESSR20 	ESSH14 	0.1023
ESSR20 	ESSH15 	0.0000
ESSR20 	ESSH16 	0.0000
ESSR20 	ESSH17 	0.0000
ESSR20 	ESSH18 	0.0390
ESSR20 	ESSH19 	0.0000
ESSR20 	ESSH08 	0.0871
ESSR20 	ESSH09 	0.0459
ESSR20 	ESSH01 	0.0604
ESSR20 	ESSH02 	0.1683
ESSR20 	ESSH03 	0.0000
ESSR20 	ESSH04 	0.0000
ESSR20 	ESSH05 	0.0870
ESSR20 	ESSH06 	0.0000
ESSR20 	ESSH07 	0.0000
ESSR20 	ESSH20 	0.0000
ESSR20 	ESSH21 	0.0156
ESSR20 	ESSH22 	0.0000
ESSR20 	ESSH23 	0.3702
ESSR20 	ESSH24 	0.0000
ESSR20 	ESSH25 	0.0770
ESSR20 	ESSH26 	0.1667
ESSR20 	ESSH27 	0.0341
ESSR20 	ESSH28 	0.0000
ESSR01 	ESSR18 	0.0000
ESSR01 	ESSR19 	0.1442
ESSR01 	ESSR20 	0.0000
ESSR01 	ESSR01 	1.0000
ESSR01 	ESSR02 	0.0977
ESSR01 	ESSR03 	0.0000
ESSR01 	ESSR04 	0.0000
ESSR01 	ESSR05 	0.0198
ESSR01 	ESSR06 	0.0036
ESSR01 	ESSR07 	0.1173
ESSR01 	ESSR08 	0.5833
ESSR01 	ESSR09 	0.0000
ESSR01 	ESSR10 	0.0000
ESSR01 	ESSR11 	0.0000
ESSR01 	ESSR12 	0.0000
ESSR01 	ESSR13 	0.0407
ESSR01 	ESSR14 	0.0286
ESSR01 	ESSR15 	0.0000
ESSR01 	ESSR16 	0.0000
ESSR01 	ESSR17 	0.0000
ESSR01 	ESSR21 	0.0000
ESSR01 	ESSR22 	0.0000
ESSR01 	ESSR23 	0.0000
ESSR01 	ESSR24 	0.0000
ESSR01 	ESSR25 	0.0567
ESSR01 	ESSR26 	0.0000
ESSR01 	ESSR27 	0.0000
ESSR01 	ESSR28 	0.1440
ESSR01 	ESSE01 	0.4253
ESSR01 	ESSE02 	0.0000
ESSR01 	ESSE03 	0.0570
ESSR01 	ESSE04 	0.0000
ESSR01 	ESSE05 	0.0809
ESSR01 	ESSE06 	0.1178
ESSR01 	ESSE07 	0.0425
ESSR01 	ESSE08 	0.0447
ESSR01 	ESSE09 	0.0840
ESSR01 	ESSE10 	0.0000
